Country,Properties inscribed
Italy,59
China,57
France,52
Germany,52
Spain,50
India,42
Mexico,35
UK,33
Russia,31
Iran,27
Japan,25
United States,25
Brazil,23
Canada,22
Turkey,21
Australia,20
Greece,19
Czechia,17
Poland,17
Portugal,17
Belgium,16
Republic of Korea,16
Sweden,15
Netherlands,13
Peru,13
Switzerland,13
Argentina,12
Austria,12
Denmark,11
Ethiopia,11
Bulgaria,10
Croatia,10
Indonesia,10
South Africa,10
Colombia,9
Cuba,9
Israel,9
Morocco,9
Romania,9
Tunisia,9
Hungary,8
Norway,8
Slovakia,8
Sri Lanka,8
Ukraine,8
Viet Nam,8
Algeria,7
Bolivia (Plurinational State of),7
Chile,7
Egypt,7
Finland,7
Kenya,7
Saudi Arabia,7
Senegal,7
Thailand,7
United Republic of Tanzania,7
Uzbekistan,7
Iraq,6
Jordan,6
Kazakhstan,6
Lebanon,6
Mongolia,6
Pakistan,6
Philippines,6
Syrian Arab Republic,6
Azerbaijan,5
C�te d'Ivoire,5
Democratic Republic of the Congo,5
Ecuador,5
Libya,5
Lithuania,5
Oman,5
Panama,5
Serbia,5
Slovenia,5
Turkmenistan,5
Yemen,5
Zimbabwe,5
Albania,4
Belarus,4
Bosnia and Herzegovina,4
Cambodia,4
Costa Rica,4
Georgia,4
Guatemala,4
Malaysia,4
Mali,4
Montenegro,4
Nepal,4
State of Palestine,4
Tajikistan,4
Armenia,3
Bahrain,3
Bangladesh,3
Benin,3
Burkina Faso,3
Cyprus,3
Iceland,3
Kyrgyzstan,3
Lao People's Democratic Republic,3
Latvia,3
Madagascar,3
Malta,3
New Zealand,3
Niger,3
Sudan,3
Suriname,3
Uganda,3
Uruguay,3
Venezuela (Bolivarian Republic of),3
Afghanistan,2
Botswana,2
Cameroon,2
Central African Republic,2
Chad,2
Congo,2
Democratic People's Republic of Korea,2
Estonia,2
Gabon,2
Gambia,2
Ghana,2
Holy See,2
Honduras,2
Ireland,2
Malawi,2
Mauritania,2
Mauritius,2
Myanmar,2
Namibia,2
Nicaragua,2
Nigeria,2
North Macedonia,2
Rwanda,2
Seychelles,2
Andorra,1
Angola,1
Antigua and Barbuda,1
Barbados,1
Belize,1
Cabo Verde,1
Dominica,1
Dominican Republic,1
El Salvador,1
Eritrea,1
Fiji,1
Guinea,1
Haiti,1
Jamaica,1
Kiribati,1
Lesotho,1
Luxembourg,1
Marshall Islands,1
Micronesia (Federated States of),1
Mozambique,1
Palau,1
Papua New Guinea,1
Paraguay,1
Qatar,1
Republic of Moldova,1
Saint Kitts and Nevis,1
Saint Lucia,1
San Marino,1
Singapore,1
Solomon Islands,1
Togo,1
United Arab Emirates,1
Vanuatu,1
Zambia,1
